,formula,ident,sg_num,pearson,gii,gii_softBV
0,LiCl,52235,225,cF8,0.00013241390000000002,0.030990000000000004
1,ScP,77798,225,cF8,0.0002881742,
2,MnO,262928,186,hP4,0.0004550892,0.21368
3,MoS2,26622,166,hR3,0.0007861734000000001,
4,HgCl,23720,139,tI8,0.0013280111,0.02621
5,CoS,624842,194,hP4,0.0016664498,1.088271
6,CaSe,619571,225,cF8,0.0018199995,0.061543
7,BeCl2,31696,72,oI12,0.0019699251,0.058911
8,CrCl2,15468,58,oP6,0.0020288893,0.0022619999999999997
9,ZnS,181741,216,cF8,0.0025086278,0.010268
10,NiF2,76271,136,tP6,0.0025223773000000002,0.049673999999999996
11,BaS,616053,225,cF8,0.0026317127000000003,0.29079299999999997
12,MgO,31051,225,cF8,0.0026317127000000003,0.02986
13,MgCl2,86439,166,hR3,0.0028138436,0.08631599999999999
14,MgF2,20513,136,tP6,0.0030852469,0.058710000000000005
15,SrCl2,196826,225,cF12,0.0032398257000000002,0.029629
16,VN,644850,225,cF8,0.0035293536,
17,TiO2,82657,136,tP6,0.0035485705,0.038522
18,ZnF2,53981,136,tP6,0.0035934416,0.027836
19,YP,648293,225,cF8,0.0037682306000000002,
20,NaMgF3,94084,62,oP20,0.0040120958000000005,0.018251
21,ZrS2,651482,164,hP3,0.0046679205000000005,0.050335
22,Fe2O3,415251,167,hR10,0.0046896373000000005,0.007911
23,Cr2S3,16721,148,hR10,0.0051166115,0.005351
24,Na2PdCl4,202971,130,tP28,0.0052162173,0.024598
25,NaCl,53815,225,cF8,0.0055225226,0.017837
26,KFeF3,107514,221,cP5,0.0055262369,0.013163
27,BeO,29271,186,hP4,0.006247615000000001,0.239665
28,NaNiF3,9008,62,oP20,0.0066350946000000004,0.01855
29,HfSe2,195308,164,hP3,0.0066577662,0.126007
30,MgCO3,264524,167,hR10,0.0068163162,0.097879
31,NiCl2,14208,166,hR3,0.007032592000000001,0.042831
32,ErVO4,69118,88,tI24,0.0070657439,0.187544
33,Cu2S,16550,96,tP12,0.0071100318000000004,0.045670999999999996
34,TiS2,79803,12,mC6,0.0071602390000000005,0.212313
35,LiOsF6,165206,148,hR8,0.0071712358,0.035609
36,PdCl2,421221,14,mP6,0.0073517331000000005,0.018372
37,VInO4,237482,63,oC24,0.0074994047,0.056448
38,VBO3,45060,167,hR10,0.0075000215000000005,0.088715
39,VSe2,652158,164,hP3,0.0075235199,
40,Na4SnSe4,72384,114,tP18,0.0075621224,0.022824
41,PtO,26599,131,tP4,0.0078029106,0.052974999999999994
42,AgF,18008,225,cF8,0.008007575900000001,0.040607
43,CaS,52784,225,cF8,0.0080515517,0.119222
44,ZnS,76955,160,hR10,0.0083497271,0.023270000000000002
45,RbFeSe2,633210,15,mC16,0.0083674096,
46,Rb2SnCl6,26698,225,cF36,0.008715495200000001,0.022170000000000002
47,CsCl,22173,221,cP2,0.0088823871,0.119449
48,TiSe2,26862,164,hP3,0.0089516444,
49,PdS2,16694,61,oP12,0.009008872000000001,
50,TiZnO3,194214,161,hR10,0.009153356000000001,0.029633
51,NbF3,60246,221,cP4,0.0092205071,
52,MnCO3,196029,167,hR10,0.0094469588,0.059576
53,Tl2PdCl4,89601,123,tP7,0.009534868,0.081899
54,Li2Se,60433,225,cF12,0.009555609000000001,0.024003999999999998
55,Cs4IrO4,72287,12,mC18,0.009609125500000001,0.315459
56,VO2,38054,58,oP6,0.0096316136,0.056115
57,NiS,646352,194,hP4,0.009644953900000001,0.14060899999999998
58,TiCdO3,262708,148,hR10,0.009994294400000001,0.060353
59,TiFeO3,30669,148,hR10,0.0102549592,0.03434
60,CuO,43180,15,mC8,0.0104952303,0.005764
61,LiCoO2,182444,166,hR4,0.0108046446,0.12224499999999999
62,MnPS3,61391,12,mC20,0.010934067700000001,0.13575199999999998
63,Al2ZnO4,196109,227,cF56,0.011715027900000001,0.028319
64,NaClO3,1301,198,cP20,0.012471113300000001,0.022498
65,ZnCO3,100679,167,hR10,0.012481776100000001,0.075034
66,Mn2O3,76087,206,cI80,0.0125165294,0.034404
67,NaZnF3,72320,62,oP20,0.012547768400000001,0.013637
68,Mn(FeO2)2,170910,227,cF56,0.012901400700000001,0.035525999999999995
69,Sr(ClO2)2,171021,68,oC28,0.0132017168,0.06673699999999999
70,AlCuO2,60844,166,hR4,0.013428664100000001,0.039389
71,LaAuO3,73873,57,oP20,0.013632612300000001,0.055514
72,CsAgCl2,37086,63,oC16,0.013694881,0.067344
73,BeSe,616419,216,cF8,0.01376339,0.289561
74,CoF2,73460,136,tP6,0.0140388496,0.008886
75,LiNbO3,250775,161,hR10,0.0141458498,0.035636
76,Cu3TeO6,189131,206,cI80,0.014232559300000001,0.045665
77,Cr2O3,33642,167,hR10,0.0144043286,0.000404
78,NiO,24014,225,cF8,0.014613663300000001,0.06577899999999999
79,AgClO2,68486,54,oP16,0.014711026700000001,0.042880999999999996
80,KCl,187219,225,cF8,0.0148414995,0.15617599999999998
81,LiF,52234,225,cF8,0.0148414995,0.058655
82,NbNO,1031,14,mP12,0.0148427427,0.557009
83,MnGeO3,73243,148,hR10,0.015047344300000001,0.079786
84,PdCl2,404624,148,hR18,0.0154328165,0.015776
85,InCuO2,91855,166,hR4,0.0155495415,0.09562599999999999
86,VO2,198083,136,tP6,0.015588691100000001,0.07893599999999999
87,LiTaO3,241537,161,hR10,0.0156129302,0.029755
88,MgTiO3,19788,148,hR10,0.015895634000000002,0.008190000000000001
89,PdCl2,421215,58,oP6,0.0160491057,0.0021969999999999997
90,MnVO3,185418,62,oP20,0.0161099356,0.071671
91,NaCoF3,4404,62,oP20,0.0162677068,0.015312
92,ZrSiO4,96090,141,tI24,0.016515272100000002,0.082563
93,FeBiO3,196302,161,hR10,0.016864234500000002,0.168994
94,ZnS,107132,160,hR16,0.0175895714,0.029545
95,Ho(CuO2)2,83492,15,mC28,0.017632251300000002,0.103846
96,ZnS,67453,186,hP4,0.0177505533,0.031056999999999998
97,Li2TiO3,162215,15,mC48,0.0178855138,0.032755
98,ZnO,41488,186,hP4,0.0179132626,0.088351
99,Ca3AsCl3,36002,221,cP7,0.0181477708,0.33136099999999996
100,ZnS,76896,186,hP8,0.0182540633,0.028551
101,HfSiO4,31177,141,tI24,0.018318682200000002,0.050758
102,AlCuCl4,35050,112,tP12,0.018392959900000002,0.007619
103,Rb2CrCl4,41570,139,tI14,0.0185520565,0.056706
104,WO3,108651,221,cP4,0.0186743569,0.070842
105,ZnGeO3,33722,148,hR10,0.018760326600000002,0.076872
106,LaCrO3,251091,62,oP20,0.0188296123,0.079943
107,BaSe,616117,225,cF8,0.018901753,0.28238199999999997
108,SrSe,53949,225,cF8,0.0189352733,0.145508
109,CaF2,44618,225,cF12,0.0192724508,0.034741999999999995
110,YVO4,246711,88,tI24,0.019463282800000002,0.173779
111,TiO2,154608,141,tI12,0.019742292800000002,0.038242
112,LiAsO3,202862,148,hR10,0.0197658561,0.15273699999999998
113,GaCuCl4,300103,112,tP12,0.0197739206,0.009296
114,MnF3,19080,2,aP8,0.0198728895,0.045876
115,NiSO4,33737,63,oC24,0.02007788,0.033503
116,ScPO4,74483,141,tI24,0.0201477663,0.134967
117,AgF2,66014,61,oP12,0.0201515474,0.022019
118,K2PtCl6,2582,225,cF36,0.020582245500000002,0.018106
119,VCdO3,172795,62,oP20,0.020586822,0.060037999999999994
120,MgGeO3,171786,148,hR10,0.020713237500000002,0.093718
121,Yb2FeS4,37419,227,cF56,0.0207676195,0.08887
122,Cr2Se3,626703,163,hP20,0.0210658737,0.014315
123,Ag3AsS3,427438,161,hR14,0.0211294796,0.04052
124,ZnWO4,166214,13,mP12,0.021186153000000003,0.035239
125,RbHoO2,15160,166,hR4,0.021293571900000002,0.145552
126,CoWO4,15851,13,mP12,0.0212968055,0.068565
127,NaAlF4,248088,63,oC24,0.0213235328,0.029526
128,HgCl2,23277,62,oP12,0.021410280900000002,0.023849
129,TiMnO3,65359,161,hR10,0.0214320512,0.072423
130,MgWO4,22357,13,mP12,0.0214391128,0.0316
131,YOF,184004,166,hR6,0.0214664736,0.134232
132,CdPtF6,37445,148,hR8,0.0215658633,0.019551
133,ScF3,36011,155,hR4,0.0217101972,0.038148999999999995
134,Cr2TeO6,24794,136,tP18,0.021746889000000002,0.063286
135,GaCuSe2,627512,122,tI16,0.0221791371,0.19366899999999998
136,ZrFeF6,100301,225,cF32,0.022252243,0.007679
137,MgAl2O4,35925,227,cF56,0.0222820547,0.00996
138,LaRhO3,172353,62,oP20,0.023032301,0.11230699999999999
139,FeCO3,100678,167,hR10,0.0230600457,0.070954
140,CdF2,183500,225,cF12,0.0231710221,0.02193
141,NaGaO2,36652,33,oP16,0.0232978603,0.059954999999999994
142,AlCuCl4,165607,33,oP24,0.0234685832,0.015512999999999999
143,FeO,633036,225,cF8,0.0242488436,0.031501
144,ZnS,43070,156,hP32,0.0242933422,0.032126
145,ZnS,43068,156,hP32,0.0242933422,0.030535999999999997
146,ZnS,43069,156,hP32,0.0242933422,0.031341
147,ZnS,37391,186,hP32,0.0242933422,0.030535999999999997
148,ZnS,15740,156,hP20,0.0243002098,0.031025999999999998
149,ZnS,15736,186,hP28,0.024301159500000002,0.030653999999999997
150,ZnS,107177,156,hP52,0.0243037755,0.031224
151,ZnS,15742,160,hR16,0.0243044765,0.03135
152,ZnS,15738,156,hP48,0.0243046923,0.030809
153,ZnS,15739,160,hR24,0.02430522,0.031871
154,ZnS,15741,156,hP28,0.0243265888,0.0316
155,ZnS,107134,156,hP16,0.0243419068,0.032926
156,ZnS,107133,156,hP16,0.0243419068,0.031369
157,ZnS,15744,156,hP56,0.0243480542,0.030677
158,ZnS,15737,160,hR12,0.0243812212,0.031862999999999995
159,MnS,643451,225,cF8,0.0243992356,0.079757
160,NdRhO3,172349,62,oP20,0.024699613000000002,0.10545299999999999
161,WBr4O,49547,79,tI12,0.024872311600000002,
162,LiFe5O8,260857,212,cP56,0.024928596600000002,0.026045
163,TiCdO3,62150,62,oP20,0.0250846206,0.052105
164,Na3InCl6,154093,163,hP20,0.025152673,0.038454999999999996
165,CdPS3,79556,12,mC20,0.0252211596,0.124888
166,ZnS,107139,156,hP28,0.0253528734,0.033295
167,Ca(AsO3)2,81064,162,hP9,0.0255411605,0.147598
168,CoSO4,33736,63,oC24,0.025636161600000002,0.060696999999999994
169,ZrCuF6,30116,148,hR8,0.025640591900000002,0.038266999999999995
170,ZnS,42838,160,hR28,0.0256813169,0.031684
171,ZnS,107142,160,hR28,0.0256813194,0.032625999999999995
172,Mn(Ni3O4)2,40584,225,cF60,0.0257058891,0.046436
173,ZnS,42780,156,hP40,0.0257421348,0.032762
174,ZnS,107149,156,hP40,0.0257421348,0.032112999999999996
175,ZnS,42806,186,hP40,0.0257421348,0.031450000000000006
176,ZnS,107148,156,hP40,0.0257421348,0.032112999999999996
177,ZnS,42779,156,hP40,0.0257421348,0.032112999999999996
178,ZnS,107141,156,hP28,0.025743025500000002,0.033585
179,ZnS,107138,156,hP28,0.025743025500000002,0.031735
180,ZnS,42800,186,hP20,0.0257435006,0.032114
181,ZnS,42993,156,hP48,0.025746306700000002,0.032965
182,ZnS,42991,156,hP48,0.025746306700000002,0.031895
183,ZnS,42992,156,hP48,0.025746306700000002,0.031897
184,ZnS,42989,156,hP48,0.025746306700000002,0.031335
185,ZnS,42990,156,hP48,0.025746306700000002,0.031890999999999996
186,ZnS,107157,156,hP48,0.025746306700000002,0.032448
187,ZnS,42843,156,hP48,0.025746306700000002,0.031335
188,ZnS,107158,156,hP48,0.025746306700000002,0.032434
189,ZnS,42995,156,hP48,0.025746306700000002,0.031893
190,ZnS,42848,156,hP48,0.025746306700000002,0.032979
191,ZnS,42844,156,hP48,0.025746306700000002,0.032440000000000004
192,ZnS,42801,160,hR24,0.025748223900000002,0.031894
193,ZnS,42802,160,hR24,0.0257482281,0.031892
194,ZnS,42816,156,hP56,0.0257502309,0.031261
195,ZnS,42825,156,hP88,0.0257567518,0.031394
196,ZnS,42824,156,hP88,0.0257567518,0.031087999999999998
197,ZnS,42798,186,hP12,0.0257620453,0.032956
198,ZnS,42797,186,hP24,0.025819706,0.031974999999999996
199,ZnS,107185,156,hP56,0.025889330300000003,0.033191
200,ZnS,107182,156,hP56,0.025889330300000003,0.031341
201,CaHfF6,136201,225,cF32,0.0261522036,0.08546000000000001
202,ZnS,42786,156,hP44,0.0261732811,0.031545
203,ZnS,42785,156,hP44,0.0261732811,0.031545
204,ZnS,42787,156,hP44,0.0261732811,0.03212
205,ZnS,42792,156,hP52,0.0263296209,0.032513
206,TiCdO3,62151,33,oP20,0.0264400986,0.046356
207,FeCuO2,191496,166,hR4,0.026654511000000002,0.06879099999999999
208,CuSiO3,65955,148,hR30,0.0266922718,0.049436
209,Mg(ScS2)2,37423,227,cF56,0.0267055684,0.09428399999999999
210,TiCoO3,48107,148,hR10,0.0268547885,0.039886
211,MgSe,53946,225,cF8,0.0269169744,0.434731
212,ErTaO4,415437,13,mP12,0.026956908800000002,0.057241
213,ZnCl2,2459,33,oP12,0.0269893363,0.008688
214,ZnMoO4,195515,13,mP12,0.0270512807,0.072421
215,ZnS,42781,160,hR20,0.0270615508,0.032764999999999996
216,Na2BeF4,14307,14,mP28,0.0271966639,0.031284
217,YbNbO4,73393,15,mC24,0.0274130016,0.115787
218,CaPdF4,32674,140,tI24,0.0275385075,0.05546
219,Ag2SO4,27655,70,oF56,0.027813726100000002,0.043052
220,ErVO4,15671,141,tI24,0.0279029151,0.07358
221,MoS2,43695,160,hR3,0.027939439700000002,
222,ZnS,42191,156,hP36,0.028176212200000002,0.034022
223,ZnS,42189,156,hP36,0.028176212200000002,0.03329
224,ZnS,42190,156,hP36,0.028176212200000002,0.034024
225,ZnS,42196,156,hP36,0.0281836739,0.034759
226,ZnS,42195,156,hP36,0.028183729100000002,0.034031
227,Mn2BO4,79357,14,mP28,0.028433849,0.059401999999999996
228,TbCrO4,51904,141,tI24,0.0284598792,0.08123899999999999
229,Eu(MnP)2,51782,164,hP5,0.0291251826,
230,V2O5,156052,15,mC28,0.0294848604,0.385839
231,CuCl,23988,216,cF8,0.029486164300000003,0.051354
232,CaZrF6,136200,225,cF32,0.0299378582,0.020857999999999998
233,TiMnO3,60006,148,hR10,0.0299645662,0.050792
234,LiMnO2,95640,59,oP8,0.0300391312,0.060374
235,NaDyS2,199761,166,hR4,0.030079589,0.054556
236,CoHO2,22285,166,hR4,0.030136522800000003,0.07792
237,YPO4,28554,141,tI24,0.030378588600000003,0.095542
238,YAlO3,88261,62,oP20,0.030380049500000002,0.179121
239,PtCl2,98668,166,hR18,0.030424037900000003,0.029907999999999997
240,Cd(GaS2)2,619878,82,tI14,0.0304315497,0.038294999999999996
241,TiZnO3,262709,148,hR10,0.030436754000000003,0.017654
242,NaCuF3,69655,2,aP20,0.030489670400000002,0.016826
243,Ca(MnP)2,49017,164,hP5,0.030576119800000003,
244,Eu(CuO2)2,83489,15,mC28,0.0307312478,0.09263
245,Li3VO4,19002,31,oP16,0.030734114000000003,0.046086999999999996
246,VS2,50317,194,hP6,0.0307421903,0.129636
247,Cd2SiO4,23943,70,oF56,0.030806095800000002,0.062181
248,ScAsO4,155920,141,tI24,0.030808961000000003,0.097699
249,Na2MnF5,61206,14,mP32,0.030902091500000003,0.020182
250,Tl2Hg3S4,182745,15,mC36,0.0310816138,0.097174
251,Sc2FeS4,74405,227,cF56,0.0311199672,0.03719
252,ZnS,107199,156,hP72,0.031228642900000003,0.035872999999999995
253,ZnS,107198,156,hP72,0.031228642900000003,0.035500000000000004
254,LiCuO2,74978,12,mC8,0.0312339074,0.156848
255,Zn4B6O13,34085,217,cI46,0.0312744276,0.074594
256,WO2,647643,14,mP12,0.031334457,0.033428
257,FeF3,202047,227,cF64,0.0313930663,0.00038899999999999997
258,Zn(InS2)2,81811,227,cF56,0.0313959007,0.047882999999999995
259,CrCuO2,157800,166,hR4,0.031440553,0.068119
260,LiSbO3,39574,52,oP20,0.0315432394,0.018657
261,CrCl3,22080,12,mC16,0.0316600739,0.050374999999999996
262,NiF2,34307,58,oP6,0.0317148845,0.023712999999999998
